Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_receipts_sum,continent
ST.INT.RCPT.CD,Slovenia,SVN,1016000000.00,1059000000.00,1152000000.00,1427000000.00,1725000000.00,1894000000.00,2075000000.00,2464000000.00,2955000000.00,2817000000.00,2808000000.00,3048000000.00,2793000000.00,2966000000.00,3052000000.00,2594000000.00,2717899902.00,3055100098.00,3377500000.00,3353100098.00,1418000000.00,49766600098.00,Europe
ST.INT.RCPT.CD,Solomon Islands,SLB,4000000.00,8800000.19,800000.01,1600000.02,3519999.98,6400000.10,30899999.62,33099998.47,31200000.76,39299999.24,50799999.24,65900001.53,65400001.53,70500000.00,64800003.05,60000000.00,71000000.00,79000000.00,92000000.00,82000000.00,7000000.00,868020003.70,Oceania
ST.INT.RCPT.CD,Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,0.00,Africa
ST.INT.RCPT.CD,South Africa,ZAF,3338000000.00,3256000000.00,3695000000.00,6674000000.00,7571000000.00,8629000000.00,9211000000.00,10226000000.00,9178000000.00,8684000000.00,10309000000.00,10706000000.00,11202000000.00,10468000000.00,10484000000.00,9140000000.00,8807000000.00,9706000000.00,9789000000.00,9064000000.00,2716000000.00,173000000000.00,Africa
ST.INT.RCPT.CD,South Sudan,SSD,,,,,,,,,,,,,,,,22000000.00,23500000.00,26000000.00,12000000.00,,,83500000.00,Africa
ST.INT.RCPT.CD,Spain,ESP,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.RCPT.CD,Sri Lanka,LKA,388000000.00,347000000.00,594000000.00,709000000.00,808000000.00,729000000.00,733000000.00,750000000.00,803000000.00,754000000.00,1044000000.00,1421000000.00,1756000000.00,2506000000.00,3278000000.00,3978000000.00,4591000000.00,5083000000.00,5608000000.00,4663000000.00,1076000000.00,41619000000.00,Asia
ST.INT.RCPT.CD,St. Kitts and Nevis,KNA,58000000.00,62000000.00,57000000.00,75000000.00,103000000.00,121000000.00,132000000.00,125000000.00,110000000.00,83000000.00,90000000.00,94000000.00,95000000.00,101000000.00,343000000.00,317000000.00,332000000.00,355000000.00,367000000.00,,,3020000000.00,Null
ST.INT.RCPT.CD,St. Lucia,LCA,281000000.00,233000000.00,210000000.00,282000000.00,326000000.00,382000000.00,294000000.00,302000000.00,311000000.00,296000000.00,309000000.00,321000000.00,337000000.00,354000000.00,778000000.00,810000000.00,776000000.00,875000000.00,989000000.00,,,8466000000.00,Null
ST.INT.RCPT.CD,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,0.00,Null
