Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_arrivals_sum,continent
ST.INT.ARVL,Comoros,COM,24000.00,19400.00,18900.00,20600.00,23300.00,25900.00,28500.00,15200.00,14800.00,11300.00,15300.00,18800.00,22800.00,21900.00,22800.00,23600.00,26800.00,28000.00,35900.00,45100.00,7000.00,469900.00,Africa
ST.INT.ARVL,Dem. Rep. Congo,COD,103000.00,55000.00,28000.00,35000.00,36000.00,61000.00,55000.00,47000.00,50000.00,53000.00,81000.00,186000.00,167000.00,191000.00,334000.00,354000.00,351000.00,,,,,2187000.00,Null
ST.INT.ARVL,Congo,COG,,,,,,,,,,,199000.00,224000.00,259000.00,345000.00,229000.00,224000.00,213000.00,151000.00,158000.00,,,2002000.00,Africa
ST.INT.ARVL,Costa Rica,CRI,1278000.00,1320000.00,1335000.00,1514000.00,1771000.00,1959000.00,2071000.00,2302000.00,2409000.00,2309000.00,2495000.00,2526000.00,2542000.00,2641000.00,2760000.00,2899000.00,3204000.00,3231000.00,3313000.00,3366000.00,1146500.00,48391500.00,North America
ST.INT.ARVL,Côte d'Ivoire,CIV,,,,,,,,182000.00,205000.00,231000.00,252000.00,270000.00,289000.00,380000.00,471000.00,1441000.00,1583000.00,1800000.00,1965000.00,2070000.00,668000.00,11807000.00,Null
ST.INT.ARVL,Croatia,HRV,37226000.00,40129000.00,41737000.00,42857000.00,44974000.00,45762000.00,47733000.00,52271000.00,51336000.00,47573000.00,49006000.00,49969000.00,47185000.00,48345000.00,51168000.00,55858000.00,57587000.00,59238000.00,57668000.00,60021000.00,21608000.00,1009251000.00,Europe
ST.INT.ARVL,Cuba,CUB,1774000.00,1775000.00,1686000.00,1906000.00,2049000.00,2319000.00,2221000.00,2152000.00,2348000.00,2430000.00,2532000.00,2716000.00,2847000.00,2862000.00,3014000.00,3540000.00,4009000.00,4654000.00,4712000.00,4276000.00,1086000.00,56908000.00,North America
ST.INT.ARVL,Curacao,CUW,514000.00,519000.00,545000.00,508000.00,452000.00,510000.00,572000.00,664000.00,773000.00,808000.00,762000.00,837000.00,908000.00,1071000.00,1129000.00,1072000.00,944000.00,1058000.00,1210000.00,1293000.00,,16149000.00,Null
ST.INT.ARVL,Cyprus,CYP,2912000.00,2841000.00,2495000.00,2416000.00,2478000.00,2657000.00,2629000.00,2671000.00,2631000.00,2370000.00,2450000.00,2626000.00,2635000.00,2626000.00,2558000.00,2780000.00,3286000.00,3750000.00,4024000.00,4117000.00,,56952000.00,Europe
ST.INT.ARVL,Czechia,CZE,,,,20108000.00,23808000.00,24747000.00,25102000.00,22625000.00,21850000.00,23285000.00,21941000.00,22810000.00,25750000.00,26332000.00,27166000.00,29604000.00,32519000.00,34701000.00,36268000.00,37202000.00,,455818000.00,Europe
ST.INT.ARVL,Denmark,DNK,,,,21119000.00,22054000.00,26927000.00,26936000.00,27138000.00,26870000.00,26571000.00,26730000.00,25811000.00,26402000.00,26516000.00,28070000.00,28209000.00,28692000.00,30736000.00,30801000.00,33093000.00,15595000.00,478270000.00,Europe
ST.INT.ARVL,Djibouti,DJI,20100.00,21600.00,22500.00,23200.00,26300.00,30200.00,39500.00,40000.00,54000.00,58000.00,51000.00,56000.00,60000.00,63000.00,,,,,,,,565400.00,Africa
ST.INT.ARVL,Dominica,DMA,312000.00,276000.00,208000.00,254000.00,466000.00,381000.00,465000.00,437000.00,468000.00,608000.00,595000.00,418000.00,348000.00,311000.00,370000.00,358000.00,356000.00,230000.00,199000.00,322000.00,140000.00,7522000.00,North America
ST.INT.ARVL,Dominican Rep.,DOM,3161000.00,3090000.00,3058000.00,3680000.00,3907000.00,3981000.00,4268000.00,4365000.00,4455000.00,4489000.00,4478000.00,4654000.00,4901000.00,5114000.00,5576000.00,6129000.00,6769000.00,7296000.00,7551000.00,7550000.00,2748000.00,101220000.00,Null
ST.INT.ARVL,Ecuador,ECU,627000.00,641000.00,683000.00,761000.00,819000.00,860000.00,841000.00,937000.00,1005000.00,968000.00,1047000.00,1141000.00,1272000.00,1364000.00,1695000.00,1676000.00,1569000.00,1806000.00,2535000.00,2108000.00,,24355000.00,South America
ST.INT.ARVL,Egypt,EGY,5506000.00,4648000.00,5192000.00,6044000.00,8104000.00,8608000.00,9083000.00,11091000.00,12835000.00,12536000.00,14731000.00,9845000.00,11532000.00,9464000.00,9878000.00,9328000.00,5399000.00,8292000.00,11346000.00,13026000.00,,186488000.00,Africa
ST.INT.ARVL,El Salvador,SLV,867000.00,804000.00,885000.00,798000.00,1030000.00,1306000.00,1501000.00,1720000.00,1875000.00,1482000.00,1606000.00,1634000.00,1738000.00,1822000.00,1886000.00,1973000.00,2052000.00,2247000.00,2536000.00,2639000.00,707000.00,33108000.00,North America
ST.INT.ARVL,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,Africa
ST.INT.ARVL,Eritrea,ERI,70000.00,113000.00,101000.00,80000.00,87000.00,83000.00,78000.00,81000.00,70000.00,79000.00,84000.00,107000.00,129000.00,141000.00,119000.00,114000.00,142000.00,,,,,1678000.00,Africa
ST.INT.ARVL,Estonia,EST,3310000.00,3230000.00,3253000.00,3378000.00,,,,,3828000.00,3834000.00,4369000.00,4907000.00,5007000.00,5737000.00,5804000.00,5696000.00,5942000.00,6145000.00,6033000.00,6103000.00,1695000.00,78271000.00,Europe
ST.INT.ARVL,Eswatini,SWZ,1151000.00,1312000.00,1371000.00,1543000.00,,1182000.00,1200000.00,1230000.00,1186000.00,1344000.00,1343000.00,1328000.00,1278000.00,1299000.00,1325000.00,1256000.00,1279000.00,1343000.00,1277000.00,1226000.00,345299.99,24818299.99,Null
ST.INT.ARVL,Ethiopia,ETH,136000.00,148000.00,156000.00,180000.00,184000.00,227000.00,330000.00,358000.00,383000.00,427000.00,468000.00,523000.00,597000.00,681000.00,770000.00,864000.00,871000.00,933000.00,849000.00,812000.00,518000.00,10415000.00,Africa
ST.INT.ARVL,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Fiji,FJI,434000.00,446000.00,461000.00,451000.00,513000.00,547000.00,,542000.00,627000.00,605000.00,692000.00,734000.00,741000.00,769000.00,781000.00,869000.00,963000.00,1027000.00,1058000.00,969000.00,168000.00,13397000.00,Oceania
ST.INT.ARVL,Finland,FIN,2714000.00,2826000.00,2875000.00,2601000.00,2840000.00,3140000.00,3375000.00,3519000.00,3583000.00,3423000.00,3670000.00,4192000.00,4226000.00,2797000.00,2731000.00,2622000.00,2789000.00,3180000.00,3224000.00,3290000.00,896000.00,64513000.00,Europe
ST.INT.ARVL,France,FRA,,,,,190282000.00,185829000.00,193882000.00,193319000.00,193571000.00,192369000.00,189826000.00,196595000.00,197522000.00,204410000.00,206599000.00,203302000.00,203042000.00,207274000.00,211998000.00,217877000.00,117109000.00,3304806000.00,Europe
ST.INT.ARVL,French Polynesia,PYF,,,,,,,,243000.00,227000.00,190000.00,179000.00,196000.00,210000.00,214000.00,228000.00,239000.00,241000.00,254000.00,264000.00,300000.00,89400.00,3074400.00,Null
ST.INT.ARVL,Gabon,GAB,230000.00,236000.00,269000.00,234000.00,351000.00,526000.00,,,,,,,,,,,,,,,,1846000.00,Africa
ST.INT.ARVL,"Gambia, The",GMB,79000.00,57000.00,81000.00,89000.00,90000.00,108000.00,125000.00,143000.00,147000.00,142000.00,91000.00,106000.00,157000.00,171000.00,156000.00,449000.00,450000.00,522000.00,552000.00,620000.00,246000.00,4581000.00,Null
ST.INT.ARVL,Georgia,GEO,387000.00,302000.00,298000.00,313000.00,368000.00,560000.00,983000.00,1052000.00,1290000.00,1500000.00,2032000.00,2712000.00,4106000.00,4954000.00,5004000.00,5256000.00,5393000.00,6483000.00,7203000.00,7726000.00,1513000.00,59435000.00,Europe
ST.INT.ARVL,Germany,DEU,18983000.00,17861000.00,17969000.00,18399000.00,20137000.00,21500000.00,23569000.00,24421000.00,24884000.00,24220000.00,26875000.00,28374000.00,30411000.00,31545000.00,32999000.00,34970000.00,35555000.00,37452000.00,38881000.00,39563000.00,12449000.00,561017000.00,Europe
ST.INT.ARVL,Ghana,GHA,399000.00,439000.00,483000.00,531000.00,584000.00,429000.00,497000.00,587000.00,698000.00,803000.00,931000.00,821000.00,903000.00,994000.00,825000.00,897000.00,,,,,,10821000.00,Africa
ST.INT.ARVL,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Greece,GRC,13567000.00,14678000.00,14918000.00,14785000.00,14268000.00,15938000.00,17284000.00,,,,,,,20112000.00,24272000.00,26114000.00,28071000.00,30161000.00,33072000.00,34005000.00,7406000.00,308651000.00,Europe
ST.INT.ARVL,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Grenada,GRD,316000.00,277000.00,271000.00,294000.00,370000.00,380000.00,342000.00,406000.00,428000.00,460000.00,445000.00,447000.00,370000.00,327000.00,387000.00,437000.00,474000.00,468000.00,529000.00,526000.00,217000.00,8171000.00,North America
ST.INT.ARVL,Guam,GUM,1287000.00,1159000.00,1059000.00,910000.00,1160000.00,1228000.00,1212000.00,1225000.00,1142000.00,1053000.00,1197000.00,1160000.00,1308000.00,1334000.00,1343000.00,1409000.00,1536000.00,1545000.00,1549000.00,1667000.00,328000.00,25811000.00,Null
ST.INT.ARVL,Guatemala,GTM,826000.00,835000.00,884000.00,880000.00,1182000.00,1316000.00,1502000.00,1628000.00,1715000.00,1311000.00,1384000.00,1434000.00,1491000.00,1516000.00,1739000.00,1865000.00,1906000.00,2120000.00,2406000.00,2560000.00,594000.00,31094000.00,North America
ST.INT.ARVL,Guinea,GIN,33000.00,38000.00,43000.00,44000.00,45000.00,45000.00,46100.00,30000.00,24000.00,,12400.00,131000.00,96000.00,56000.00,33000.00,35000.00,63000.00,99000.00,,,,873500.00,Africa
ST.INT.ARVL,Guinea-Bissau,GNB,,7800.00,,,,5000.00,11600.00,15600.00,18000.00,16000.00,22300.00,36700.00,35400.00,35500.00,36100.00,43800.00,45200.00,49500.00,55000.00,52400.00,,485900.00,Africa
ST.INT.ARVL,Guyana,GUY,105000.00,99000.00,104000.00,101000.00,122000.00,117000.00,113000.00,134000.00,130000.00,141000.00,152000.00,157000.00,177000.00,200000.00,206000.00,207000.00,235000.00,247000.00,287000.00,315000.00,86400.00,3435400.00,South America
ST.INT.ARVL,Haiti,HTI,445000.00,499000.00,482000.00,518000.00,385000.00,480000.00,558000.00,868000.00,758000.00,826000.00,793000.00,946000.00,959000.00,1064000.00,1127599.98,1190000.00,1153000.00,1262000.00,1333000.00,938000.00,,16584599.98,North America
ST.INT.ARVL,Honduras,HND,689000.00,672000.00,788000.00,887000.00,1026000.00,1118000.00,1136000.00,1309000.00,1561000.00,1589000.00,1965000.00,1852000.00,1903000.00,1857000.00,2082000.00,2093000.00,2228000.00,2144000.00,2323000.00,2315000.00,669000.00,32206000.00,North America
ST.INT.ARVL,"Hong Kong SAR, China",HKG,13059000.00,13725000.00,16566000.00,15537000.00,21811000.00,23359000.00,25251000.00,28169000.00,29507000.00,29591000.00,36030000.00,41921000.00,48615000.00,54299000.00,60839000.00,59308000.00,56655000.00,58472000.00,65148000.00,55913000.00,3569000.00,757344000.00,Null
ST.INT.ARVL,Hungary,HUN,31141000.00,30679000.00,31739000.00,31412000.00,33934000.00,36173000.00,38318000.00,39379000.00,39554000.00,40624000.00,39904000.00,41304000.00,43565000.00,43611000.00,45984000.00,48345000.00,52890000.00,54962000.00,57667000.00,61397000.00,31641000.00,874223000.00,Europe
ST.INT.ARVL,Iceland,ISL,328000.00,329000.00,315000.00,348000.00,405000.00,429000.00,477000.00,539000.00,561000.00,563000.00,559000.00,628000.00,765000.00,900000.00,1102000.00,1389000.00,1891000.00,2353000.00,2488000.00,2202000.00,488000.00,19059000.00,Europe
ST.INT.ARVL,India,IND,2649000.00,2537000.00,2384000.00,2726000.00,3457000.00,3919000.00,4447000.00,5082000.00,5283000.00,5168000.00,5776000.00,6309000.00,6578000.00,6968000.00,13107000.00,13284000.00,14570000.00,15543000.00,17423000.00,17914000.00,,155124000.00,Asia
ST.INT.ARVL,Indonesia,IDN,5064000.00,5153000.00,5033000.00,4467000.00,5321000.00,5002000.00,4871000.00,5506000.00,6234000.00,6324000.00,7003000.00,7650000.00,8044000.00,8802000.00,9435000.00,10407000.00,11519000.00,14040000.00,15810000.00,16107000.00,4053000.00,165845000.00,Asia
ST.INT.ARVL,Iran,IRN,1342000.00,1402000.00,1585000.00,1546000.00,1659000.00,1889000.00,2735000.00,2219000.00,2034000.00,2116000.00,2938000.00,3354000.00,3834000.00,4769000.00,4968000.00,5237000.00,4942000.00,4867000.00,7295000.00,9107000.00,1550000.00,71388000.00,Asia
ST.INT.ARVL,Iraq,IRQ,78000.00,127000.00,,,,,,,864000.00,1262000.00,1518000.00,1510000.00,1111000.00,892000.00,,,,,,,,7362000.00,Asia
ST.INT.ARVL,Ireland,IRL,6646000.00,6353000.00,6476000.00,6764000.00,6953000.00,7333000.00,8001000.00,8332000.00,8026000.00,7189000.00,7134000.00,7630000.00,7550000.00,8260000.00,8813000.00,9528000.00,10100000.00,10338000.00,10926000.00,10951000.00,,163303000.00,Europe
ST.INT.ARVL,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Israel,ISR,2672000.00,1219000.00,862099.98,,1505800.05,1916000.00,1834000.00,2294000.00,3034000.00,2740000.00,3444000.00,3362000.00,3520000.00,3540000.00,3251000.00,3109000.00,3070000.00,3863000.00,4389000.00,4905000.00,,54529900.02,Asia
ST.INT.ARVL,Italy,ITA,62702000.00,60960000.00,63561000.00,63026000.00,58480000.00,59230000.00,66353000.00,70271000.00,70719000.00,71692000.00,73225000.00,75866000.00,76293000.00,76762000.00,77694000.00,81068000.00,84925000.00,89931000.00,93228601.56,95399000.00,38419000.00,1509804602.00,Europe
