Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_departures_sum,continent
ST.INT.DPRT,Norway,NOR,2394000,2348000,2629000,2588000,2960000,3166000,3236000,3395000,,6640000,7590000,8130000,9250000,9280000,9190000,8750000,8030000,8170000,8110000,8890000,1690000,116436000,Europe
ST.INT.DPRT,Oman,OMN,,,,,,2496000,2664000,2945000,3100000,2470000,2829000,3341000,3972000,4301000,4727000,5424000,5902000,6368000,5975000,6633000,1657000,64804000,Asia
ST.INT.DPRT,Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Palau,PLW,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,Panama,PAN,216000,200000,200000,227000,256000,285000,284000,314000,369000,336000,392000,414000,447000,619000,853000,965000,1051000,869000,1020000,1226000,401000,10944000,North America
ST.INT.DPRT,Papua New Guinea,PNG,52000,38000,92000,,,,,,,,,,,,,,,,,,,182000,Oceania
ST.INT.DPRT,Paraguay,PRY,175000,157000,141000,153000,170000,188000,210000,242000,278000,288000,302000,347000,400000,440000,426000,1008000,1503000,1548000,1266000,1192000,214000,10648000,South America
ST.INT.DPRT,Peru,PER,730000,1060000,1232000,1433000,1635000,1841000,1857000,1915000,1913000,1891000,2058000,2132000,2296000,2364000,2442000,2595000,2751000,2875000,3078000,3275000,791000,42164000,South America
ST.INT.DPRT,Philippines,PHL,1670000,1787000,1969000,1803000,1920000,2144000,2745000,3066000,3355000,3188000,,,,,3488000,5115000,5703000,,,,1483000,39436000,Asia
ST.INT.DPRT,Poland,POL,56677000,53122000,45043000,38730000,37226000,40841000,44696000,47561000,50243000,39270000,42760000,43270000,48290000,52580000,35400000,44300000,44500000,46700000,48600000,50600000,,910409000,Europe
ST.INT.DPRT,Portugal,PRT,,,,,,,,,,,,,1361000,1490000,1502000,1893000,1941000,2195000,2486000,3100000,680000,16648000,Europe
ST.INT.DPRT,Puerto Rico,PRI,1259000,1331000,1227000,1272000,1361000,1410000,1468000,1441000,1438000,1116000,980000,924000,876000,839000,793000,746000,789000,792000,,,,20062000,Null
ST.INT.DPRT,Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Romania,ROU,6388000,6408000,5757000,6497000,6972000,7140000,8906000,10980000,13072000,11723000,10905000,10936000,11149000,11364000,12299000,13118000,16128000,19953000,21039000,23066000,9510000,243310000,Europe
ST.INT.DPRT,Russia,RUS,18371000,18030000,20428000,20572000,24507000,28416000,29107000,34285000,36538000,34276000,39323000,43726000,47813000,54069000,45889000,34550000,31659000,39629000,41964000,45330000,12361000,700843000,Asia
ST.INT.DPRT,Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Samoa,WSM,61000,56000,53000,51000,54000,52000,51000,52000,53000,43000,56000,57000,56000,51000,57000,54000,,55000,64000,69000,18500,1063500,Oceania
ST.INT.DPRT,San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Sao Tome and Principe,STP,,,,,,,,8600,10300,,,,,,,,,,,,,18900,Africa
ST.INT.DPRT,Saudi Arabia,SAU,,,,,4234000,5009000,2336000,4817000,4705000,6467000,18625000,15865399.41,20084259.77,22535457.03,22322601.56,25054000,27618000,28748000,27425000,27196000,,263041717.8,Asia
ST.INT.DPRT,Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Seychelles,SYC,36000,41000,53000,50000,48000,52000,55000,58000,54000,49000,59000,48000,45000,47000,50000,56000,68000,74000,72000,76000,19000,1110000,Africa
ST.INT.DPRT,Sierra Leone,SLE,13000,20000,27000,13000,28000,63000,67000,71000,73000,72000,76000,99000,104000,111000,93000,61000,92000,110000,112000,122000,,1427000,Africa
ST.INT.DPRT,Singapore,SGP,4444000,4363000,4399000,4221000,5165000,5159000,5533000,6024000,6828000,6961000,7342000,7753000,8048000,8647000,8903000,9125000,9474000,9889000,10378000,10711000,1543000,144910000,Asia
ST.INT.DPRT,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Slovakia,SVK,,,,,,2987000,3149000,3603000,3683000,3230000,2692000,3285000,2689000,2129000,2406000,2777000,3095000,3870000,4662000,5214000,,49471000,Europe
ST.INT.DPRT,Slovenia,SVN,,,,,,6736000,6814000,5569000,5490000,5575000,5340000,5073000,4465000,4440000,4672000,4909000,5408000,5410000,5409000,6049000,1892000,83251000,Europe
ST.INT.DPRT,Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Spain,ESP,,,,,,,,12709000,13042000,13754000,14254000,15944000,14916000,13434000,13952000,17625000,18277000,20274000,22287000,22816000,6236000,219520000,Europe
ST.INT.DPRT,Sri Lanka,LKA,524000,505000,533000,561000,680000,727000,757000,862000,966000,963000,1122000,1239000,1269000,1262000,1311000,1356000,1448000,1439000,1476000,1441000,305000,20746000,Asia
ST.INT.DPRT,St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,0,Null
