Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum,continent
ST.INT.XPND.CD,Sudan,SDN,55000000.00,74000000.00,91000000.00,119000000.00,176000000.00,667000000.00,1414000000.00,1477000000.00,1268000000.00,868000000.00,1127000000.00,937000000.00,699000000.00,460000000.00,439000000.00,195000000.00,203000000.00,29000000.00,13000000.00,,,10311000000.00,Africa
ST.INT.XPND.CD,Suriname,SUR,67000000.00,62000000.00,54000000.00,68000000.00,85000000.00,94000000.00,33000000.00,28000000.00,35000000.00,35000000.00,41000000.00,49000000.00,58000000.00,75000000.00,90000000.00,128000000.00,112000000.00,99000000.00,104000000.00,94000000.00,64000000.00,1475000000.00,South America
ST.INT.XPND.CD,Sweden,SWE,8959000000.00,7916000000.00,8221000000.00,9375000000.00,11088000000.00,11088000000.00,11159000000.00,13646000000.00,14622000000.00,12075000000.00,13973000000.00,,,,,,,,,,,122000000000.00,Europe
ST.INT.XPND.CD,Switzerland,CHE,7837000000.00,7540000000.00,7633000000.00,9148000000.00,10518000000.00,11218000000.00,11822000000.00,12984000000.00,14083000000.00,13799000000.00,14332000000.00,17538000000.00,18884000000.00,19963000000.00,20853000000.00,19675000000.00,19941000000.00,21501000000.00,21441000000.00,21097000000.00,10372000000.00,312000000000.00,Europe
ST.INT.XPND.CD,Syria,SYR,,,,734000000.00,688000000.00,584000000.00,585000000.00,710000000.00,911000000.00,980000000.00,1598000000.00,850000000.00,,,,,,,,,,7640000000.00,Asia
ST.INT.XPND.CD,Tajikistan,TJK,,,,,,,,,,,35400001.53,31399999.62,36500000.00,42500000.00,,,24600000.38,15100000.38,24200000.76,28399999.62,10800000.19,248900002.50,Asia
ST.INT.XPND.CD,Tanzania,TZA,369000000.00,363000000.00,361000000.00,375000000.00,470000000.00,577000000.00,571000000.00,616000000.00,746000000.00,806000000.00,861000000.00,928000000.00,1003000000.00,1101000000.00,1185000000.00,1288000000.00,992000000.00,873000000.00,818000000.00,738200012.20,,15041200012.00,Africa
ST.INT.XPND.CD,Thailand,THA,3218000000.00,3334000000.00,3888000000.00,3538000000.00,5343000000.00,4920000000.00,6176000000.00,6889000000.00,6707000000.00,5744000000.00,7155000000.00,7534000000.00,8095000000.00,8238000000.00,8824000000.00,9539000000.00,11267000000.00,12676000000.00,14406000000.00,14969000000.00,3681000000.00,156000000000.00,Asia
ST.INT.XPND.CD,Timor-Leste,TLS,,,,,,,2000000.00,5000000.00,51000000.00,69000000.00,68000000.00,62000000.00,92000000.00,57000000.00,84000000.00,100000000.00,118000000.00,137000000.00,131000000.00,110000000.00,61000000.00,1147000000.00,Null
ST.INT.XPND.CD,Togo,TGO,15000000.00,20000000.00,26000000.00,37000000.00,38000000.00,42000000.00,42000000.00,59000000.00,68000000.00,94000000.00,89000000.00,81000000.00,46000000.00,58000000.00,60000000.00,53000000.00,55000000.00,57000000.00,65000000.00,61000000.00,,1066000000.00,Africa
ST.INT.XPND.CD,Tonga,TON,,,,13199999.81,16200000.76,16000000.00,15000000.00,17299999.24,21299999.24,19799999.24,21600000.38,23399999.62,28500000.00,29100000.38,30100000.38,32400001.53,23799999.24,37700000.76,41200000.76,44000000.00,38000000.00,468600001.30,Oceania
